family,variant,seed,epochs,emp_ratio,frac_cover_from_mu,cert_ratio,dual_quality,cert_gap
ER_c5,pdgnn,0,95,1.4464189029570629,0.9984556845510808,1.5325063688721963,0.9937216856936193,0.08608746591513357
ER_c5,pdgnn,1,99,1.6567248325113866,0.9975453136692864,1.754526746089796,0.9911903881468034,0.09780191357841002
ER_c5,pdgnn,2,89,1.4765707828892545,0.9842675162882231,1.5627596234799708,0.991113399078506,0.08618884059071628
ER_c5,pdgnn,3,99,1.8493743431822274,1.0,1.9570067404628566,0.9904816450487555,0.10763239728062941
ER_c5,pdgnn,4,100,1.4508779467576227,0.9954035662835636,1.5415661292898266,0.9888590003945474,0.09068818253220375
ER_c5,pdgnn0,0,100,1.1856505580441792,0.0,1.3489466002604427,0.9219853658060707,0.16329604221626393
ER_c5,pdgnn0,1,100,1.1856505580441792,0.0,1.2528562327382768,0.9928549331089538,0.0672056746940979
ER_c5,pdgnn0,2,100,1.1856505580441792,0.0,1.2526596336428322,0.9930138851639267,0.0670090755986531
ER_c5,pdgnn0,3,98,1.1856505580441792,0.0,1.2526099238491475,0.9930414088054741,0.0669593658049686
ER_c5,pdgnn0,4,100,1.1856505580441792,0.0,1.2531908081788345,0.9925827423803473,0.06754025013465549
ER_c5,plain,0,5,1.1856505580441792,0.0,,,
ER_c5,plain,1,6,1.1856505580441792,0.0,,,
ER_c5,plain,2,6,1.1856505580441792,0.0,,,
ER_c5,plain,3,5,1.1856505580441792,0.0,,,
ER_c5,plain,4,6,1.1856505580441792,0.0,,,
ER_c3,pdgnn,0,87,1.0564994274154742,1.0,1.0659738577226574,0.9942890611419507,0.00947443030718324
ER_c3,pdgnn,1,91,1.1179933634344184,0.9972756796606248,1.133401109889095,0.9898570856655408,0.015407746454676583
ER_c3,pdgnn,2,69,1.0351396159723083,0.988911690138784,1.0498637794069068,0.9890097436946368,0.014724163434598463
ER_c3,pdgnn,3,94,1.0454265780110479,1.0,1.0606168152015196,0.9887827016933939,0.015190237190471773
ER_c3,pdgnn,4,69,1.0461055155853187,0.997761383289222,1.067986138792368,0.9826769811547532,0.021880623207049244
ER_c3,pdgnn0,0,96,1.1864688374815109,0.0,1.253196251388449,0.9497394965892145,0.0667274139069378
ER_c3,pdgnn0,1,100,1.1864688374815109,0.0,1.194898883862771,0.9955684593485017,0.008430046381259982
ER_c3,pdgnn0,2,97,1.1864688374815109,0.0,1.2535765758153998,0.9494447511719525,0.06710773833388879
ER_c3,pdgnn0,3,99,1.1864688374815109,0.0,1.252121696645363,0.9505450054675293,0.06565285916385202
ER_c3,pdgnn0,4,100,1.1864688374815109,0.0,1.2541288135110586,0.9490130937723237,0.06765997602954761
ER_c3,plain,0,4,1.1864688374815109,0.0,,,
ER_c3,plain,1,5,1.1864688374815109,0.0,,,
ER_c3,plain,2,5,1.1864688374815109,0.0,,,
ER_c3,plain,3,4,1.1864688374815109,0.0,,,
ER_c3,plain,4,5,1.1864688374815109,0.0,,,
BA_m2,pdgnn,0,42,1.0246972559660443,0.9987129790940766,1.070316448223468,0.9589542706360156,0.04561919225742389
BA_m2,pdgnn,1,49,1.0158428798011312,1.0,1.0566793089858462,0.9624743626498958,0.0408364291847151
BA_m2,pdgnn,2,100,1.0112241736282088,1.0,1.0203029800789636,0.991944715657689,0.009078806450754697
BA_m2,pdgnn,3,71,1.0180576455996495,0.9990309343434344,1.0373895700969082,0.982282981512833,0.019331924497258974
BA_m2,pdgnn,4,68,1.0243599994482484,0.9993711180124224,1.0457115508227575,0.9804779336219577,0.021351551374509028
BA_m2,pdgnn0,0,95,1.198163605299198,0.0,1.2274279085688247,0.9769583922287459,0.029264303269626847
BA_m2,pdgnn0,1,99,1.198163605299198,0.0,1.2280746568772645,0.9764412580174675,0.029911051578066693
BA_m2,pdgnn0,2,98,1.198163605299198,0.0,1.2279616820288508,0.976537444486776,0.029798076729653032
BA_m2,pdgnn0,3,93,1.198163605299198,0.0,1.2275939227762147,0.9768464894247272,0.029430317477016826
BA_m2,pdgnn0,4,95,1.198163605299198,0.0,1.2287800703132423,0.9759010692135984,0.030616465014044313
BA_m2,plain,0,3,1.198163605299198,0.0,,,
BA_m2,plain,1,3,1.198163605299198,0.0,,,
BA_m2,plain,2,3,1.198163605299198,0.0,,,
BA_m2,plain,3,3,1.198163605299198,0.0,,,
BA_m2,plain,4,3,1.198163605299198,0.0,,,
BA_m3,pdgnn,0,93,1.1380945031411678,0.9986787073785598,1.1509045891783913,0.9965642904935823,0.012810086037223663
BA_m3,pdgnn,1,90,1.3152728548285058,1.0,1.3296797766491106,0.9966706270470702,0.01440692182060493
BA_m3,pdgnn,2,100,1.0842626909528088,0.9954893290390647,1.096471041691037,0.9964119595585952,0.012208350738228216
BA_m3,pdgnn,3,98,1.119621425107523,0.9994155844155845,1.1324201518555814,0.9967993084471332,0.012798726748058398
BA_m3,pdgnn,4,97,1.0994916460512254,0.997309550298316,1.1121572010423608,0.9964568822752321,0.012665554991135499
BA_m3,pdgnn0,0,96,1.195443718787241,0.0,1.275070276215923,0.9425253707276614,0.07962655742868159
BA_m3,pdgnn0,1,98,1.195443718787241,0.0,1.2750241515756238,0.9425654809939676,0.07958043278838255
BA_m3,pdgnn0,2,94,1.195443718787241,0.0,1.2767576470365976,0.9413424360032462,0.08131392824935643
BA_m3,pdgnn0,3,100,1.195443718787241,0.0,1.273928160744826,0.9434041659400332,0.07848444195758489
BA_m3,pdgnn0,4,98,1.195443718787241,0.0,1.2747347566995937,0.9427919851980093,0.07929103791235267
BA_m3,plain,0,3,1.195443718787241,0.0,,,
BA_m3,plain,1,2,1.195443718787241,0.0,,,
BA_m3,plain,2,3,1.195443718787241,0.0,,,
BA_m3,plain,3,3,1.195443718787241,0.0,,,
BA_m3,plain,4,3,1.195443718787241,0.0,,,
